NewVolSales,Base Price,Radio ,TV ,InStore,Facebook,Twitter,WebCamp,Online,Website Campaign ,Inserts,NewspaperInserts
19564,15.02927551,245,145.4,15.452,0,0,0,0,,0,
19387,15.02927551,314,66,16.388,0,0,0,0,,0,
23889,14.5850933,324,155.1,62.692,0,0,0,0,,0,
20055,15.33288702,298,114.5,16.573,0,0,0,0,,0,
20064,15.64263188,279,96.5,41.504,0,0,0,0,,0,
19481,15.4869851,259,139.1,20.404,0,0,0,0,,0,
19509,15.79984295,235,80.2,32.477,0,0,0,0,,0,
19033,15.4869851,290,129.8,16.617,0,0,0,0,,0,
20498,15.02927551,315,124.5,44.796,0,0,0,0,,0,
19509,15.4869851,318,215.1,27.272,0,0,0,0,,0,
18755,15.79984295,320,157.3,19.054,0,0,0,0,,0,
19600,15.95863401,330,187.4,36.818,1,0,0,1,Facebook,0,
18473,15.79984295,345,174,28.729,1,0,0,1,Facebook,0,
18262,15.95863401,278,135.7,10.782,1,0,0,1,Facebook,0,
20550,15.95863401,250,149.1,26.959,1,0,0,1,Facebook,0,
20101,15.79984295,250,122.3,31.937,0,0,0,0,,0,
20940,15.02927551,250,126.6,26.228,0,0,0,0,,0,
20272,15.4869851,268,110.1,25.686,0,0,0,0,,0,
22228,14.73167592,287,125.4,29.955,0,0,0,0,,1,Insert
20402,15.18032224,290,163.9,11.716,0,0,0,0,,0,
24944,14.5850933,310,199.1,48.987,0,0,0,0,,0,
21653,15.33288702,320,118.4,18.97,0,0,0,0,,0,
21139,15.33288702,345,140.3,13.659,0,0,0,0,,0,
20071,15.18032224,350,215.3,18.799,0,0,0,0,,0,
22707,14.43996919,328,192.2,51.727,0,0,0,0,,0,
20055,15.02927551,345,116.4,24.686,0,0,0,0,,0,
24219,14.43996919,310,280.5,44.416,0,0,0,0,,0,
20093,15.33288702,294,106,13.786,0,0,0,0,,0,
19702,15.33288702,315,56.5,13.118,0,0,0,0,,0,
21507,15.02927551,315,183.5,24.219,0,0,0,0,,0,
20538,15.33288702,250,224.2,22.623,0,0,0,0,,0,
21034,15.79984295,250,222.4,53.787,0,0,0,0,,0,
21546,15.02927551,0,166.5,34.117,0,0,0,0,,0,
19597,15.64263188,0,257.9,18.111,0,0,0,0,,0,
19696,15.64263188,0,236.1,25.406,0,0,0,0,,0,
20104,15.4869851,224,140.3,30.386,0,0,0,0,,0,
17952,16.11902095,253,117.8,22.054,0,0,0,0,,0,
19877,15.4869851,234,83.2,42.144,0,0,0,0,,0,
20183,15.64263188,249,189.9,42.415,0,0,0,0,,1,Insert
18502,16.11902095,236,146,16.684,0,0,0,0,,0,
17937,16.2810198,276,104.8,26.602,0,0,0,0,,0,
18977,16.11902095,298,182.2,41.048,0,0,0,0,,0,
19588,15.95863401,313,121.5,33.614,0,0,0,0,,0,
19980,15.64263188,320,123.4,57.707,0,0,0,0,,0,
20442,15.4869851,312,134.6,26.808,0,0,0,0,,1,Insert
19953,15.4869851,321,174.4,20.749,0,1,0,1,Twitter,0,
20383,15.33288702,290,219.1,37.036,0,1,0,1,Twitter,0,
22730,14.5850933,290,170.3,37.142,0,1,0,1,Twitter,0,
23576,14.43996919,290,198.2,39.609,0,1,0,1,Twitter,0,
21236,15.4869851,290,260.7,40.122,0,0,0,0,,0,
20997,15.18032224,290,113.8,25.663,0,0,0,0,,0,
22466,15.02927551,290,160.3,59.704,0,0,0,0,,0,
19578,15.33288702,0,188.3,23.331,0,0,0,0,,0,
18667,15.64263188,0,109.8,19.289,0,0,0,0,,1,Insert
20690,15.18032224,0,128.2,40.305,0,0,0,0,,0,
20988,15.02927551,0,198.9,39.121,0,0,0,0,,0,
23872,14.87973172,0,122.1,63.376,0,0,0,0,,0,
19178,15.64263188,341,46,26.128,0,0,0,0,,0,
19929,15.4869851,354,156.7,37.115,0,0,0,0,,0,
19004,15.79984295,341,217.3,31.96,0,0,0,0,,0,
19027,15.79984295,310,96.9,21.398,0,0,0,0,,0,
18828,15.95863401,298,61,26.851,0,0,0,0,,0,
19897,15.79984295,317,111.6,46.118,0,0,0,0,,0,
19756,15.95863401,320,209,57.543,0,0,0,0,,0,
20153,15.64263188,310,177.6,64.972,0,0,0,0,,0,
18779,15.64263188,320,76,22.227,0,0,0,0,,1,Insert
21041,15.02927551,324,140.6,28.883,0,0,0,0,,0,
20930,14.87973172,330,194.9,36.743,0,0,0,0,,0,
19934,15.18032224,300,80.4,41.172,0,0,0,0,,0,
22101,14.2962891,300,150.1,36.771,0,0,0,0,,0,
20951,14.5850933,399,180.3,37.248,0,0,0,0,,0,
20277,14.43996919,300,101.3,17.409,0,0,0,0,,0,
22767,14.43996919,245,83.9,54.308,0,0,0,0,,0,
21196,14.73167592,276,166.5,23.335,0,0,0,0,,0,
24468,13.73572359,251,130.9,37.836,0,0,0,0,,0,
22495,14.01320361,247,110.2,45.307,0,0,0,0,,0,
21710,13.8737699,261,162,34.215,0,0,0,0,,0,
19400,14.43996919,257,122.1,27.956,0,0,0,0,,0,
23677,14.5850933,250,13.7,68.119,0,0,0,0,,0,
20324,14.87973172,243,120.6,29.317,0,0,0,0,,0,
19529,15.4869851,267,161.3,25.452,0,0,0,0,,0,
19831,15.33288702,210,93.7,25.121,0,0,0,0,,0,
19068,15.64263188,221,158.5,16.481,0,0,0,0,,0,
19144,15.4869851,219,94.9,18.074,0,0,0,0,,0,
20635,15.18032224,218,71.4,34.414,0,0,0,0,,0,
19558,15.18032224,212,18.3,18.387,0,0,0,0,,0,
19561,15.18032224,201,123.9,52.137,0,0,0,0,,0,
18890,15.33288702,209,129.8,18.026,0,0,0,0,,0,
20204,14.5850933,210,2.3,60.145,0,0,1,1,Website Campaign ,0,
18524,15.18032224,208,135.1,33.169,0,0,1,1,Website Campaign ,0,
18508,15.02927551,210,93.5,47.023,0,0,1,1,Website Campaign ,0,
17431,15.4869851,221,212.9,13.524,0,0,1,1,Website Campaign ,0,
18705,15.18032224,218,150,34.331,0,0,1,1,Website Campaign ,0,
18941,15.18032224,201,5.2,51.487,0,0,1,1,Website Campaign ,0,
17785,15.64263188,235,246.9,18.201,0,0,0,0,,0,
18289,15.18032224,239,213.9,34.074,0,0,0,0,,0,
17926,15.79984295,212,0.9,34.684,0,0,0,0,,0,
18312,15.79984295,239,195.8,39.253,0,0,0,0,,1,Insert
19126,15.64263188,280,193.9,38.735,0,0,0,0,,0,
18335,15.95863401,292,24.1,29.485,0,0,0,0,,0,
19054,15.64263188,312,162.3,48.611,0,0,0,0,,0,
18198,15.95863401,315,194.9,29.323,0,0,0,0,,0,
20495,15.64263188,343,159.2,50.935,0,0,0,0,,0,
18169,16.2810198,330,161.1,46.169,0,0,0,0,,0,
